Country,Region,HappinessRank_2016,HappinessScore_2016,Economy_2016,Family_2016,Health_2016,Freedom_2016,Trust_2016,Generosity_2016,HappinessRank_2015,HappinessScore_2015,Economy_2015,Family_2015,Health_2015,Freedom_2015,Trust_2015,Generosity_2015,HappinessRank_2017,HappinessScore_2017,Economy_2017,Family_2017,Health_2017,Freedom_2017,Generosity_2017,Trust_2017,HappinessRank_2018,HappinessScore_2018,Economy_2018,Family_2018,Health_2018,Freedom_2018,Generosity_2018,HappinessRank_2019,HappinessScore_2019,Economy_2019,Family_2019,Health_2019,Freedom_2019,Generosity_2019,HappinessRank_2020,HappinessScore_2020,Economy_2020,Family_2020,Health_2020,Freedom_2020,Generosity_2020,HappinessRank_2021,HappinessScore_2021,Economy_2021,Family_2021,Health_2021,Freedom_2021,Generosity_2021,HappinessRank_2022,HappinessScore_2022,Economy_2022,Family_2022,Health_2022,Freedom_2022,Generosity_2022
Maldives,South Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,5.197599888,0.951863289,0.91316092,0.664043427,0.853962779,0.038085498,89,5.198,0.9826,0.913,0.706,0.854,0.024,0,0,0,0,0,0,0
Mali,Sub-Saharan Africa,135,4.073,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,61,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,118,4.447,0.37,1.233,0.152,0.367,0.139,128,4.39,0.385,1.105,0.308,0.327,0.153,114,4.729300022,0.76298523,0.731468976,0.682990265,0.71156615,-0.044366926,117,4.723,0.7744,0.724,0.51969,0.697,-0.036,123,4.479,0.792,0.483,0.311,0.311,0.311
Malta,Western Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,22,6.627,1.27,1.525,0.884,0.645,0.376,22,6.726,1.3,1.52,0.999,0.564,0.375,22,6.772799969,1.053383827,0.93037951,0.650130158,0.924911439,0.214965805,23,6.602,1.0674,0.931,0.722,0.927,0.133,33,6.447,1.838,1.169,0.789,0.789,0.789
Mauritania,Sub-Saharan Africa,130,4.201,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,126,4.356,0.557,1.245,0.292,0.129,0.134,122,4.49,0.57,1.167,0.489,0.066,0.106,129,4.374599934,0.823391914,0.790819228,0.623044853,0.551522553,-0.106008142,134,4.227,0.8542,0.795,0.57161,0.561,-0.106,133,4.153,1.1,0.865,0.45,0.45,0.45
Mauritius,Sub-Saharan Africa,66,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,55,5.891,1.09,1.387,0.684,0.584,0.245,57,5.888,1.12,1.402,0.798,0.498,0.215,49,6.101299763,0.995678616,0.910357833,0.685053482,0.889534533,-0.018318573,50,6.049,1.0008,0.905,0.66701,0.867,-0.054,52,6.071,1.591,1.116,0.568,0.568,0.568
Mexico,Latin America and Caribbean,21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,24,6.488,1.038,1.252,0.761,0.479,0.069,23,6.595,1.07,1.323,0.861,0.433,0.074,24,6.465000153,0.97977972,0.838665426,0.658962402,0.858709276,-0.175266623,36,6.317,0.9859,0.831,0.68597,0.862,-0.147,46,6.128,1.552,0.886,0.623,0.623,0.623
Moldova,Central and Eastern Europe,55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,67,5.64,0.657,1.301,0.62,0.232,0.171,71,5.529,0.685,1.328,0.739,0.245,0.181,70,5.607500076,0.877671433,0.843313575,0.54205822,0.721609175,-0.037741039,65,5.766,0.9454,0.857,0.65699,0.822,-0.079,62,5.857,1.417,1.008,0.597,0.597,0.597
Mongolia,Eastern Asia,101,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,0.032902289,94,5.125,0.914,1.517,0.575,0.395,0.253,83,5.285,0.948,1.531,0.667,0.317,0.235,81,5.456200123,0.941218662,0.937142491,0.589617119,0.693351328,0.098093867,70,5.677,0.94,0.935,0.625,0.708,0.116,68,5.761,1.393,1.197,0.467,0.467,0.467
Montenegro,Central and Eastern Europe,88,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,81,5.347,1.017,1.279,0.729,0.259,0.111,73,5.523,1.051,1.361,0.871,0.197,0.142,72,5.54610014,0.975186062,0.855314612,0.565014877,0.649565637,-0.075600356,72,5.581,0.994,0.858,0.68699,0.708,-0.034,75,5.547,1.573,1.023,0.659,0.659,0.659
Morocco,Middle East and Northern Africa,90,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,82,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.087763183,85,5.254,0.779,0.797,0.669,0.46,0.026,89,5.208,0.801,0.782,0.782,0.418,0.036,97,5.094799995,0.894031334,0.592628479,0.637791786,0.772072434,-0.240377247,106,4.918,0.8903,0.56,0.66208,0.774,-0.236,100,5.06,1.208,0.268,0.565,0.565,0.565
